sname,netoperatecashflow,nideposit,scode,netoperatecashflow_zb,indemnitypay_zb,niloanadvances_zb,indemnitypay,agentuwsecurityrec,publishname,hycode,premiumrec_zb,buyfilassetpay_zb,reporttimetypecode,noticedate,netfinacashflow_zb,cashequibeginning_zb,salegoodsservicerec,invpay,employeepay_zb,eutime,nideposit_zb,netinvcashflow,niloanadvances,nicashequi_tb,nicashequi,niclientdeposit_zb,intandcommrec_zb,cashequibeginning,employeepay,dataajusttype,intandcommrec,invincomerec,invincomerec_zb,reportdate,salegoodsservicerec_zb,premiumrec,netfinacashflow,netinvcashflow_zb,companycode,mkt,cashequiending,niclientdeposit,combinetypecode,invpay_zb,cashequiending_zb,buyfilassetpay
澳洋健康,-627620902.87,-,002172,-44.94593189271,-,-,-,-,化纤行业,016026,-,18.1339085624233,001,2020-04-16T00:00:00,78.4735074075604,26.3719640968729,1829368351.79,672500.0,32.5690156932418,2020/4/15 20:44:04,-,-448696277.25,-,1.07766823971112,13963909.0,-,-,368255706.8,454790771.36,2,-,81111.11,0.00580862493446498,2019-12-31T00:00:00,131.006894401131,-,1095796916.35,-32.1325695584238,80084628,zxb,382219615.8,-,001,0.0481598669828055,27.3719640968729,253220248.98
百川能源,1427413140.75,-,600681,3.06745216019639,-,-,-,-,公用事业,016006,-,0.893201282805692,001,2020-04-16T00:00:00,-0.690518792688762,1.79031174968855,5402480617.58,3660000.0,0.518875968891549,2020/4/15 20:27:12,-,-640744396.35,-,2.74666575699831,465341614.54,-,-,833106560.13,241454581.11,2,-,4153455.47,0.00892560506136073,2019-12-31T00:00:00,11.6097087575554,-,-321327129.86,-1.37693336750763,10000488,shzb,1298448174.67,-,001,0.00786518954170473,2.79031174968855,415643727.05
建研院,69756061.61,-,603183,0.652167611247415,-,-,-,-,工程建设,016005,-,0.735724245909194,001,2020-04-16T00:00:00,-0.157051483331278,2.46858445778139,586207378.3,589450000.0,1.60075925879734,2020/4/15 20:16:57,-,-159918111.44,-,-2.55165466565077,-106960328.0,-,-,264040603.3,171217735.37,2,-,2763726.02,0.0258387952961401,2019-12-31T00:00:00,5.48060565315394,-,-16798278.17,-1.49511612791614,80502444,shzb,157080275.3,-,001,5.51092176905067,1.46858445778139,78693306.66
当升科技,347419786.55,-,300073,0.738571335566516,-,-,-,-,材料行业,016040,-,0.943714472348504,001,2020-04-16T00:00:00,0.725101541209639,1.73927397191181,1655971932.68,-,0.289390359440678,2020/4/15 17:14:02,-,-221751863.9,-,0.280768213267811,470394354.37,-,-,818144657.09,136127591.29,2,-,590962.68,0.00125631329226193,2019-12-31T00:00:00,3.52039074724408,-,341083671.33,-0.471416933132611,80142622,cyb,1288539011.46,-,001,-,2.73927397191181,443917959.93
南极电商,1254911826.62,-,002127,3.12072312503076,-,-,-,-,综合行业,016042,-,0.0368100657926075,001,2020-04-16T00:00:00,-0.152729503333009,2.95868860913699,3809956466.43,6697600000.0,0.365058810481699,2020/4/15 21:31:06,-,-1595727377.41,-,-0.481394278611853,-402122128.86,-,-,1189754162.14,146798226.03,2,-,33933372.78,0.0843857384228014,2019-12-31T00:00:00,9.47462522699527,-,-61415913.02,-3.96826551658279,80093214,zxb,787632033.28,-,001,16.6556364828452,1.95868860913699,14802142.02
益盛药业,210871994.83,-,002566,8.724069412708,-,-,-,-,医药制造,016024,-,0.897618183447357,001,2020-04-16T00:00:00,-6.82928517008456,1.60700277840303,1142076275.7,-,9.73328335238085,2020/4/15 15:50:58,-,-21628087.68,-,1.57905850966646,24171288.06,-,-,38843327.07,235265995.68,2,-,-,-,2019-12-31T00:00:00,47.2492931640648,-,-165072619.09,-0.894784242623436,80139210,zxb,63014615.13,-,001,-,2.60700277840303,21696587.68
空港股份,89840886.5,-,600463,3.42306474224562,-,-,-,-,房地产,016017,-,1.07229200216858,001,2020-04-16T00:00:00,-3.75585682188904,10.7801973374532,1197046210.91,-,4.03214405305505,2020/4/15 18:12:34,-,-17511369.36,-,0.598525187915762,-26245745.63,-,-,282934317.16,105826627.16,2,-,927163.77,0.0353262499404937,2019-12-31T00:00:00,45.6091523474085,-,-98575262.77,-0.667207920356576,10001337,shzb,256688571.53,-,001,-,9.7801973374532,28143103.13
腾龙股份,106940966.62,-,603158,10.3377677132228,-,-,-,-,汽车行业,016035,-,6.69947158621254,001,2020-04-16T00:00:00,16.8311008485801,17.917116954114,897757802.15,222776997.28,19.253585944564,2020/4/15 20:16:57,-,-292071372.03,-,-1.25612522659014,-10344686.55,-,-,185346958.77,199172311.56,2,-,26668211.23,2.57796223221476,2019-12-31T00:00:00,86.7844373834604,-,174112462.57,-28.2339508904695,80284543,shzb,175002272.22,-,001,21.5354033399881,16.917116954114,69303933.61
浙江美大,543387260.62,-,002677,15.805068238548,-,-,-,-,家电行业,016019,-,8.13252548466447,001,2020-04-16T00:00:00,-8.8325373148347,24.0821396727986,2000028898.98,450000000.0,3.78406326473753,2020/4/15 21:18:10,-,-274100160.37,-,-0.205942092900974,-34380570.36,-,-,827957697.44,130098253.32,2,-,3506849.32,0.102000905839539,2019-12-31T00:00:00,58.1732320911968,-,-303667670.61,-7.97253092371327,80195268,zxb,793577127.08,-,001,13.0887880942066,23.0821396727986,279600864.63
张江高科,-6731829838.47,-,600895,-6.11816523193995,-,-,-,-,房地产,016017,-,0.0110012866425367,001,2020-04-16T00:00:00,4.65246459577089,2.47121867276406,1607288851.81,754908877.53,0.0634033519173084,2020/4/15 20:16:57,-,506487988.83,-,-2.5587963324019,-1100302064.96,-,-,2719087008.61,69762839.04,2,-,357012865.41,0.324468049983146,2019-12-31T00:00:00,1.46077054928406,-,5119116401.88,0.460317221024585,10000563,shzb,1618784943.65,-,001,0.686092393689585,1.47121867276405,12104738.41
