mkt,reporttimetypecode,loanadvances_tb,monetaryfund,saleablefasset,companycode,sumliab,borrowfund,cashanddepositcbank,borrowfromcbank_tb,stborrow,eutime,borrowfromcbank,premiumrec,sumshequity_tb,sname,premiumadvance_tb,reportdate,premiumrec_tb,settlementprovision_tb,inventory,zcfzl,accountpay_tb,tsatz,sellbuybackfasset,accountrec,fixedasset,agenttradesecurity_tb,publishname,agenttradesecurity,sellbuybackfasset_tb,scode,settlementprovision,combinetypecode,acceptdeposit_tb,borrowfund_tb,loanadvances,hycode,noticedate,cashanddepositcbank_tb,accountrec_tb,stborrow_tb,inventory_tb,advancereceive,ld,sumasset,premiumadvance,monetaryfund_tb,advancereceive_tb,accountpay,dataajusttype,acceptdeposit,saleablefasset_tb,sumshequity,tdetz
shzb,001,-,257000238.62,-,10001337,1509454147.91,-,-,-,-,2020-04-15T18:12:34,-,-,-0.107997699481235,空港股份,-,2019-12-31T00:00:00,-,-,996568984.22,0.5366053824,0.137815341478213,-0.032903,-,136406264.61,124373557.45,-,房地产,-,-,600463,-,001,-,-,-,016017,2020-04-16T00:00:00,-,0.926458730787928,-,-0.164040681224104,248956651.72,0.01090694,2812968705.78,-,-0.0961772686055282,0.0813203577990171,473641358.55,2,-,-,1303514557.87,0.042917
zxb,001,-,82562321.28,-,80373089,514194684.96,-,-,-,-,2020-04-15T20:11:23,-,-,-0.010323077495854,星网宇达,-,2019-12-31T00:00:00,-,-,235665393.68,0.3468589252,0.179859922886814,-0.095458,-,324991827.62,229949094.24,-,电子信息,-,-,002829,-,001,-,-,-,016014,2020-04-16T00:00:00,-,-0.173884625788424,-,0.0823851331913263,16252665.49,0.0227227,1482431754.25,-,-0.492934439401889,0.806136528773515,154320662.86,2,-,-,968237069.29,-0.221553
zxb,001,-,130902479.07,-,10001386,800204411.65,-,-,-,-,2020-04-15T19:47:27,-,-,-0.114761785893062,精功科技,-,2019-12-31T00:00:00,-,-,389249897.92,0.4659390596,-0.118692244178464,-0.106889,-,282662665.2,423946140.18,-,机械行业,-,-,002006,-,001,-,-,-,016043,2020-04-16T00:00:00,-,-0.063591650730347,-,-0.0402684579870786,116043755.11,0.01539465,1717401439.55,-,-0.380895416909765,-0.330674135332706,264266192.87,2,-,-,917197027.9,-0.097692
zxb,001,-,799127127.08,-,80195268,467556357.16,-,-,-,-,2020-04-15T21:18:10,-,-,0.112940089770122,浙江美大,-,2019-12-31T00:00:00,-,-,79640781.25,0.2353308407,0.91888659475871,0.11582,-,17727759.67,728869570.11,-,家电行业,-,-,002677,-,001,-,-,-,016019,2020-04-16T00:00:00,-,0.195581371459126,-,0.241949681293544,80681281.56,0.02083633,1986804431.74,-,-0.0479539412466959,-0.397656174554296,212610858.29,2,-,-,1519248074.58,0.125282
shzb,001,-,127677845.11,-,10000832,35548058.84,-,-,-,-,2020-04-15T16:33:34,-,-,0.00843477967697059,博闻科技,-,2019-12-31T00:00:00,-,-,8929172.16,0.0510380246,1.24382695606878,0.011718,-,430936.4,10460916.57,-,水泥建材,-,-,600883,-,001,-,-,-,016004,2020-04-16T00:00:00,-,-0.608893683456792,-,-0.29357553075098,596625.13,0.29836712,696501463.79,-,-0.491383920322819,0.553641847671599,1943547.24,2,-,-,660953404.95,0.076914
shzb,001,-,169676913.72,-,80502444,364726745.97,-,-,-,-,2020-04-15T20:16:36,-,-,0.406841200091432,建研院,-,2019-12-31T00:00:00,-,-,78968704.7,0.2676177369,0.19807977990964,0.420876,-,334774040.8,182702512.78,-,工程建设,-,-,603183,-,001,-,-,-,016005,2020-04-16T00:00:00,-,0.275121235728315,-,0.0714455364872966,11802641.17,0.02015155,1362864622.28,-,-0.368583374663915,0.0103062805232111,145475801.26,2,-,-,998137876.31,0.460758
zxb,001,-,288824103.51,-,80037959,2541722185.4,-,-,-,-,2020-04-15T21:30:36,-,-,-0.0539792399564621,国统股份,-,2019-12-31T00:00:00,-,-,152813717.4,0.714503198,-0.229793128033339,0.085872,-,337302278.05,529169725.2,-,水泥建材,-,-,002205,-,001,-,-,-,016004,2020-04-16T00:00:00,-,-0.350782983754704,-,-0.0842310439793891,91438523.78,0.00625727,3557327934.43,-,-0.138705498989076,-0.107190277757871,581356735.93,2,-,-,1015605749.03,0.154041
shzb,001,-,96307998.84,-,80188713,429654897.34,-,-,-,-,2020-04-15T21:00:05,-,-,-0.0114182466909869,天安新材,-,2019-12-31T00:00:00,-,-,153127622.89,0.3474611006,-0.170720272619379,-0.034854,-,226899249.64,511953093.67,-,塑胶制品,-,-,603725,-,001,-,-,-,016018,2020-04-16T00:00:00,-,0.0754419491417228,-,-0.0628031521897715,1567544.12,0.01507779,1236555391.77,-,-0.0428357606824303,-0.231024689799798,100551810.37,2,-,-,806900494.43,-0.075992
zxb,001,-,116583476.62,-,80089818,659821494.65,-,-,-,-,2020-04-15T15:49:55,-,-,-0.0110048658209666,三变科技,-,2019-12-31T00:00:00,-,-,199920858.35,0.6343870907,-0.0432688432845366,0.037409,-,298497869.42,168257707.1,-,输配电气,-,-,002112,-,001,-,-,-,016020,2020-04-16T00:00:00,-,0.184970652635456,-,-0.0702932827401784,35205939.39,0.01200136,1040092877.49,-,-0.0142650687904074,0.174186122549148,125607618.89,2,-,-,380271382.84,0.067526
zxb,001,-,57129922.57,-,80509330,386217678.35,-,-,-,-,2020-04-15T20:30:32,-,-,0.0686961183046754,中大力德,-,2019-12-31T00:00:00,-,-,206051741.13,0.3798212717,-0.115910784284251,0.085602,-,122634892.53,496436828.38,-,机械行业,-,-,002896,-,001,-,-,-,016043,2020-04-16T00:00:00,-,0.414909931283917,-,-0.0507358242420884,4826109.72,0.01397567,1016840569.88,-,-0.476838668921636,-0.25217170999215,117560366.59,2,-,-,630622891.53,0.114386
