companycode,totaloperateexp,reportdate,financeexp,incometax,commreve_commexp,intnreve_tb,tystz,yltz,sumprofit,operateexp,parentnetprofit,operateexp_tb,mkt,indemnityexp,surrenderpremium,sjltz,noticedate,premiumearned,combinetypecode,reporttimetypecode,operateprofit,sjlktz,operatemanageexp,hycode,yyzc,premiumearned_tb,intreve_intexp,eutime,commnreve_tb,operatetax,manageexp,investincome,saleexp,kcfjcxsyjlr,totaloperatereve,totaloperateexp_tb,scode,commnreve,publishname,sname,dataajusttype,intnreve,operatereve
80445515,606056887.73,2019-12-31T00:00:00,4229940.16,8656235.87,-,-,-0.043435,-0.142512,148127378.27,401995018.74,132791001.11,-0.0556308220930603,cyb,-,-,-0.162459,2020-04-16T00:00:00,-,001,001,147966552.67,-0.2464862235,-,016057,401995018.74,-,-,2020/4/15 19:39:35,-,4512343.35,60009848.89,-,26350026.45,108281839.42,732082880.63,0.0152701415155548,300634,-,软件服务,彩讯股份,2,-,-
10000849,3208332866.65,2019-12-31T00:00:00,101703194.55,46598686.17,-,-,0.270311,0.110975,293656982.05,2793996261.29,221974349.83,0.32185462719036,szzb,-,-,0.315116,2020-04-16T00:00:00,-,001,001,288923410.95,0.4192540747,-,016016,2793996261.29,-,-,2020/4/15 19:31:02,-,17222501.43,192409265.07,-,94977199.86,211613114.15,3321817005.56,0.272942580081228,000507,-,港口水运,珠海港,2,-,-
80176888,838906451.56,2019-12-31T00:00:00,2103746.58,20222971.55,-,-,0.150897,0.672614,178191104.66,423262979.35,157690483.05,0.125720234258807,cyb,-,-,0.640685,2020-04-16T00:00:00,-,001,001,179322859.41,0.4828654984,-,016057,423262979.35,-,-,2020/4/15 20:37:02,-,10680747.74,62646615.0,-,234359113.35,125806653.01,964023443.78,0.104441492401107,300248,-,软件服务,新开普,2,-,-
80165581,10102806924.61,2019-12-31T00:00:00,66854364.62,118962086.64,-,-,0.365792,0.989818,678078511.34,9226917847.35,559116424.7,0.388622315097296,zxb,-,-,0.343852,2020-04-16T00:00:00,-,001,001,671096197.55,0.8063791231,-,016004,9226917847.35,-,-,2020/4/15 19:14:33,-,77871176.62,233383825.49,-,194193960.4,455653352.78,10754918386.38,0.356448492528607,002541,-,水泥建材,鸿路钢构,2,-,-
80188713,877201005.69,2019-12-31T00:00:00,14393700.75,-1908552.59,-,-,-0.091301,-1.015906,3400529.57,723485988.5,6499062.08,-0.0462581335757622,shzb,-,-,-0.867355,2020-04-16T00:00:00,-,001,001,-778728.85,-1.2050757766,-,016018,723485988.5,-,-,2020/4/15 21:02:06,-,6682717.84,55548056.33,-,45489538.82,-6918811.59,868063597.7,-0.0491646844038594,603725,-,塑胶制品,天安新材,2,-,-
80502881,750070223.83,2019-12-31T00:00:00,16247933.53,21023550.69,-,-,0.317234,0.624808,164100588.86,603295873.44,143077038.17,0.217517971628822,,-,-,0.609861,2020-04-16T00:00:00,-,001,001,152651720.3,0.6195190564,-,016040,603295873.44,-,-,2020/4/15 18:43:32,-,8848366.11,48873571.1,-,34658370.5,128789359.58,910261053.81,0.259168382697472,688299,-,材料行业,长阳科技,2,-,-
80133654,2161140446.97,2019-12-31T00:00:00,17779897.35,24991405.18,-,-,0.142823,0.000112,311419831.51,1023878118.15,305042137.26,0.04122485133964,cyb,-,-,0.122524,2020-04-16T00:00:00,-,001,001,311279270.51,0.1174558512,-,016057,1023878118.15,-,-,2020/4/15 20:19:36,-,6154723.3,131072283.18,-,931079866.38,298166174.15,2475616071.21,0.175643945461441,300031,-,软件服务,宝通科技,2,-,-
80198799,643871013.39,2019-12-31T00:00:00,-1042746.65,6369214.5,-,-,0.089359,-0.054047,47373097.46,590690102.84,41021500.26,0.0893262477172943,shzb,-,-,-0.042288,2020-04-16T00:00:00,-,001,001,47380311.82,0.0876490761,-,016043,590690102.84,-,-,2020/4/15 17:14:32,-,2167579.33,14136887.15,-,10050130.56,37568007.53,691588115.08,0.0855833428445088,603320,-,机械行业,迪贝电气,2,-,-
80050642,121170788000.0,2019-12-31T00:00:00,1470159000.0,1279161000.0,1406000.0,-,0.260499,0.146047,7091771000.0,103272800000.0,3501037000.0,0.289409964917313,shzb,-,-,0.160619,2020-04-16T00:00:00,-,001,001,6927857000.0,-0.4758965667,-,016020,103272800000.0,-,776110000.0,2020/4/15 20:54:40,0.170691090757702,520673000.0,8191745000.0,-,3543208000.0,996307000.0,127508964000.0,0.26844791453005,601727,1406000.0,输配电气,上海电气,2,776110000.0,-
80037959,825054439.6,2019-12-31T00:00:00,35351835.82,8953420.75,-,-,0.063842,-2.020626,22688586.25,645449630.44,4209180.32,0.043719180359055,zxb,-,-,0.258016,2020-04-16T00:00:00,-,001,001,-9987165.66,-16.0664362746,-,016004,645449630.44,-,-,2020/4/15 21:30:36,-,8628142.35,96933711.37,-,25138123.88,-16693581.41,839538862.26,0.0628598618549593,002205,-,水泥建材,国统股份,2,-,-
80089818,696425238.01,2019-12-31T00:00:00,13597736.09,7275544.96,-,-,0.244826,1.376197,17287809.84,558196820.81,10012264.88,0.122163235975294,zxb,-,-,0.59278,2020-04-16T00:00:00,-,001,001,16293182.44,1.0858750681,-,016020,558196820.81,-,-,2020/4/15 15:49:25,-,5256806.44,27840803.25,-,66872306.96,4001034.45,710389903.34,0.113133767493378,002112,-,输配电气,三变科技,2,-,-
80439298,585810428.72,2019-12-31T00:00:00,453743.99,17566645.27,-,-,0.256811,0.239961,154522663.74,141586014.06,147290874.46,0.478262536869433,cyb,-,-,0.291124,2020-04-16T00:00:00,-,001,001,156252965.34,0.360303731,-,016024,141586014.06,-,-,2020/4/15 21:04:07,-,5105461.9,120770040.64,-,260448305.6,135340035.29,729392802.06,0.250673298770978,300639,-,医药制造,凯普生物,2,-,-
